model,query_type,ref,f1_types,f1_capabilities,f1_requirements,f1_properties
NL2TOSCA,business,16,0.9333,0.5,0.8333,0.5161
claude,business,16,0.1818,0.0,0.8,0.0
deepseek,business,16,0.0,0.0,0.5455,0.1739
gemini,business,16,0.0,0.0,0.2857,0.1333
gpt4o,business,16,0.6,0.5,0.2857,0.2
llama_70b,business,16,0.5,0.4,0.0,0.24
mistral_2512,business,16,0.1667,0.0,0.5455,0.2069
mistral_7b,business,16,0.2,0.0,0.0,0.125
NL2TOSCA,complet,16,1.0,0.5,0.9231,0.4667
claude,complet,16,0.1667,0.0,0.5455,0.4
deepseek,complet,16,0.0,0.0,0.0,0.0
gemini,complet,16,0.7692,0.0,0.4615,0.4615
gpt4o,complet,16,0.9231,0.0,0.4615,0.3333
llama_70b,complet,16,0.8333,0.6667,0.6667,0.1739
mistral_2512,complet,16,0.5714,0.0,0.9231,0.48
mistral_7b,complet,16,0.5714,0.0,0.7692,0.48
NL2TOSCA,incomplet,16,0.875,0.4444,0.8,0.4848
claude,incomplet,16,0.1538,0.0,0.5,0.0
deepseek,incomplet,16,0.0,0.0,0.6,0.125
gemini,incomplet,16,0.1538,0.0,0.5,0.3846
gpt4o,incomplet,16,0.0,0.0,0.6,0.3529
llama_70b,incomplet,16,0.0,0.0,0.1818,0.3333
mistral_2512,incomplet,16,0.1667,0.0,0.5,0.4167
mistral_7b,incomplet,16,0.2,0.0,0.4444,0.3333
NL2TOSCA,business,17,0.6667,0.3333,0.6154,0.2963
claude,business,17,0.6667,0.0,0.5714,0.0
deepseek,business,17,0.0,0.0,0.125,0.0909
gemini,business,17,0.375,1.0,0.6316,0.6087
gpt4o,business,17,0.6154,0.0,0.5714,0.4444
llama_70b,business,17,0.6,1.0,0.1818,0.2353
mistral_2512,business,17,0.6154,0.0,0.6154,0.5217
mistral_7b,business,17,0.0,0.0,0.2,0.1905
NL2TOSCA,complet,17,0.875,0.3333,0.8421,0.5185
claude,complet,17,0.5714,0.0,0.7059,0.5263
deepseek,complet,17,0.0,0.4,0.5714,0.2286
gemini,complet,17,0.5714,0.5,0.6667,0.5333
