model,query_type,ref,f1_types,f1_capabilities,f1_requirements,f1_properties,cosine_similarity
NL2TOSCA,business,16,0.9333,0.5,0.8333,0.5161,0.9228
claude,business,16,0.1818,0.0,0.8,0.0,0.8072
deepseek,business,16,0.0,0.0,0.5455,0.1739,0.8264
gemini,business,16,0.0,0.0,0.2857,0.1333,0.6045
gpt4o,business,16,0.6,0.5,0.2857,0.2,0.8602
llama_70b,business,16,0.5,0.4,0.0,0.24,0.8772
mistral_2512,business,16,0.1667,0.0,0.5455,0.2069,0.7976
mistral_7b,business,16,0.2,0.0,0.0,0.125,0.8108
NL2TOSCA,complet,16,1.0,0.5,0.9231,0.4667,0.9613
claude,complet,16,0.1667,0.0,0.5455,0.4,0.8557
deepseek,complet,16,0.0,0.0,0.0,0.0,0.0011
gemini,complet,16,0.7692,0.0,0.4615,0.4615,0.928
gpt4o,complet,16,0.9231,0.0,0.4615,0.3333,0.9334
llama_70b,complet,16,0.8333,0.6667,0.6667,0.1739,0.8805
mistral_2512,complet,16,0.5714,0.0,0.9231,0.48,0.8789
mistral_7b,complet,16,0.5714,0.0,0.7692,0.48,0.8781
NL2TOSCA,incomplet,16,0.875,0.4444,0.8,0.4848,0.8882
claude,incomplet,16,0.1538,0.0,0.5,0.0,0.7855
deepseek,incomplet,16,0.0,0.0,0.6,0.125,0.4931
gemini,incomplet,16,0.1538,0.0,0.5,0.3846,0.7903
gpt4o,incomplet,16,0.0,0.0,0.6,0.3529,0.8192
llama_70b,incomplet,16,0.0,0.0,0.1818,0.3333,0.8016
mistral_2512,incomplet,16,0.1667,0.0,0.5,0.4167,0.8317
mistral_7b,incomplet,16,0.2,0.0,0.4444,0.3333,0.6856
NL2TOSCA,business,17,0.6667,0.3333,0.6154,0.2963,0.9055
claude,business,17,0.6667,0.0,0.5714,0.0,0.8133
deepseek,business,17,0.0,0.0,0.125,0.0909,0.6505
gemini,business,17,0.375,1.0,0.6316,0.6087,0.8514
gpt4o,business,17,0.6154,0.0,0.5714,0.4444,0.8803
llama_70b,business,17,0.6,1.0,0.1818,0.2353,0.9174
mistral_2512,business,17,0.6154,0.0,0.6154,0.5217,0.9498
mistral_7b,business,17,0.0,0.0,0.2,0.1905,0.5394
NL2TOSCA,complet,17,0.875,0.3333,0.8421,0.5185,0.9684
claude,complet,17,0.5714,0.0,0.7059,0.5263,0.8656
deepseek,complet,17,0.0,0.4,0.5714,0.2286,0.6347
